Page de détails;PAGDET;1
Page de détails "stylisable";PAGDETSTYL;1
Recrutement;RECRUT;4
Recherche de nouveaux partenaires;RECHPART;3
Accès aux demandes de services des utilisateurs et entreprises;ACCDMDUTIL;2
