SUADMIN;Admin Sakabay;GFONCTION|GROLE|GGROUP|GADMIN|GUTILISATEUR|GCOMPANY|GCOMPANYSTATUT|GCATEGORY|GCITY|GSOUSCATEGORY|GBESOINSTATUT|GADVANTAGE|GSUBSCRIPTION|GSUBSCRIPTIONSTATUS|GCOMPANYSUBSCRIPTION;SKARI|AADELSON|SMIOTTI|STHOUSEAU
ACOMPANY;Utilisateur entreprise;GUTILISATEUR;
